battery_id,cycle,voltage_measured,current_measured,temperature_measured,voltage_charge,current_charge,capacity,internal_resistance,ambient_temperature,soh,rul
B0005,31,3.6368,-2.1683,24.0,4.205,1.4372,1.8182,0.02552,24.71,97.75,407
B0005,32,3.6893,-2.0806,25.36,4.183,1.5407,1.8307,0.02464,25.31,98.42,406
B0005,33,3.6855,-1.9035,25.37,4.1992,1.4861,1.819,0.02302,23.08,97.8,405
B0005,34,3.7037,-1.8384,24.04,4.1754,1.486,1.8119,0.02375,21.99,97.42,404
B0005,35,3.7265,-2.1234,26.47,4.1948,1.5395,1.8212,0.02372,25.2,97.91,403
B0005,36,3.7117,-2.0592,26.29,4.1828,1.517,1.8085,0.02224,23.54,97.23,402
B0005,37,3.6835,-2.0026,25.66,4.1853,1.5285,1.8152,0.02293,22.38,97.59,401
B0005,38,3.6665,-1.972,24.84,4.2147,1.5484,1.8019,0.02336,24.57,96.88,400
B0005,39,3.7398,-2.081,27.57,4.2125,1.4834,1.8042,0.02194,25.25,97.0,399
B0005,40,3.6892,-1.9576,28.51,4.2051,1.4694,1.8114,0.02407,24.36,97.39,398
B0005,41,3.688,-2.0474,25.32,4.1795,1.4457,1.8132,0.02383,24.06,97.48,397
B0005,42,3.6869,-2.0014,25.14,4.1911,1.4587,1.8088,0.02245,24.38,97.25,396
B0005,43,3.6911,-1.9454,26.82,4.2139,1.6475,1.8059,0.02458,24.2,97.09,395
B0005,44,3.6839,-1.9994,25.56,4.1977,1.5622,1.8036,0.02495,23.25,96.97,394
B0005,45,3.675,-2.0436,25.9,4.2303,1.4324,1.7958,0.02451,23.9,96.55,393
B0005,46,3.6753,-2.011,27.23,4.2013,1.4339,1.7988,0.02401,25.16,96.71,392
B0005,47,3.6852,-2.0088,23.27,4.1982,1.5241,1.799,0.02497,24.99,96.72,391
B0005,48,3.6747,-2.037,28.12,4.1906,1.5274,1.8062,0.02511,24.86,97.11,390
B0005,49,3.671,-2.0259,26.26,4.1971,1.5274,1.801,0.02479,23.72,96.83,389
B0005,50,3.6871,-1.8401,25.53,4.1927,1.4873,1.788,0.02371,24.55,96.13,388
B0005,51,3.6796,-1.9439,26.02,4.2055,1.4937,1.7984,0.02486,22.58,96.69,387
B0005,52,3.7145,-2.0295,26.1,4.2092,1.5164,1.7932,0.02583,24.95,96.41,386
B0005,53,3.6311,-1.9303,23.55,4.1829,1.5043,1.7903,0.02409,26.22,96.25,385
B0005,54,3.7056,-2.0334,28.39,4.1746,1.389,1.7962,0.02684,23.34,96.57,384
B0005,55,3.7084,-1.8827,26.2,4.167,1.4885,1.7973,0.02427,24.24,96.63,383
B0005,56,3.6417,-1.963,26.8,4.202,1.4574,1.7955,0.02487,25.17,96.53,382
B0005,57,3.676,-2.0107,27.55,4.1777,1.5088,1.7844,0.02422,26.11,95.93,381
B0005,58,3.6752,-1.9552,24.58,4.1619,1.6493,1.7861,0.02517,24.43,96.02,380
B0005,59,3.6541,-2.1571,26.81,4.1999,1.5184,1.7884,0.02325,24.2,96.15,379
B0005,60,3.6664,-2.1127,25.68,4.2314,1.4843,1.7907,0.0245,22.93,96.28,378
B0005,61,3.6595,-2.1194,27.33,4.1938,1.5461,1.7814,0.02401,25.02,95.77,377
B0005,62,3.7164,-1.9857,22.85,4.2064,1.5241,1.7817,0.02528,26.97,95.79,376
B0005,63,3.6998,-1.8267,25.88,4.1949,1.521,1.7753,0.02619,25.21,95.45,375
B0005,64,3.7062,-1.7769,25.1,4.1921,1.5303,1.7736,0.0259,24.92,95.35,374
B0005,65,3.6949,-1.9362,26.63,4.2073,1.6028,1.7835,0.02293,25.28,95.89,373
B0005,66,3.6576,-1.9499,26.66,4.189,1.4435,1.7853,0.0274,24.95,95.98,372
B0005,67,3.6694,-2.1801,24.86,4.1973,1.5237,1.7761,0.0257,24.16,95.49,371
B0005,68,3.6894,-2.0543,24.82,4.198,1.4537,1.7808,0.02468,25.8,95.74,370
B0005,69,3.6549,-2.0788,25.7,4.1831,1.5278,1.776,0.02566,25.21,95.48,369
B0005,70,3.6933,-2.0621,24.48,4.2079,1.4541,1.7691,0.02573,25.01,95.11,368
B0005,71,3.6739,-2.0168,27.06,4.1903,1.4791,1.7735,0.02494,24.02,95.35,367
B0005,72,3.6709,-2.0472,25.2,4.1815,1.4852,1.7788,0.02586,26.3,95.63,366
B0005,73,3.6923,-2.1979,21.36,4.2007,1.5488,1.7688,0.0251,25.66,95.09,365
B0005,74,3.6867,-1.9252,25.12,4.1791,1.5459,1.7764,0.02536,24.45,95.51,364
B0005,75,3.6703,-2.1073,24.08,4.1929,1.4377,1.7518,0.02513,26.0,94.18,363
B0005,76,3.7004,-1.9761,23.15,4.1923,1.5027,1.7698,0.02443,24.5,95.15,362
B0005,77,3.6553,-1.7926,23.7,4.2086,1.4645,1.7644,0.02606,24.22,94.86,361
B0005,78,3.6889,-2.0919,25.67,4.1993,1.4371,1.761,0.02655,24.24,94.68,360
B0005,79,3.6882,-2.253,27.46,4.1917,1.4891,1.7619,0.02654,23.22,94.73,359
B0005,80,3.6698,-2.0286,25.89,4.2043,1.4846,1.7491,0.02689,25.46,94.04,358
B0005,81,3.6822,-1.8899,24.46,4.2128,1.6213,1.7577,0.02645,23.15,94.5,357
B0005,82,3.6504,-1.8042,26.0,4.2002,1.5216,1.7596,0.02564,23.75,94.6,356
B0005,83,3.6936,-2.123,24.58,4.1919,1.4311,1.7646,0.02707,22.9,94.87,355
B0005,84,3.6711,-1.9503,24.17,4.1719,1.4718,1.7522,0.02492,24.88,94.21,354
B0005,85,3.664,-2.0465,23.43,4.1755,1.5511,1.7494,0.02543,24.81,94.05,353
B0005,86,3.6952,-2.0106,22.48,4.1868,1.6044,1.7498,0.02542,24.62,94.08,352
B0005,87,3.6598,-1.7356,24.47,4.1822,1.4207,1.7565,0.02751,23.89,94.43,351
B0005,88,3.6454,-2.1503,25.24,4.1884,1.406,1.7519,0.02743,23.75,94.19,350
B0005,89,3.6422,-1.9746,24.8,4.1919,1.5935,1.7459,0.02702,25.38,93.86,349
B0005,90,3.6851,-1.9532,24.26,4.1989,1.5195,1.7504,0.02766,24.35,94.11,348
B0005,91,3.6471,-1.8914,23.41,4.1898,1.4566,1.7469,0.02576,25.21,93.92,347
B0005,92,3.7075,-1.9902,25.69,4.1981,1.5267,1.7505,0.02704,23.99,94.11,346
B0005,93,3.6305,-1.9692,22.74,4.1917,1.3682,1.7399,0.02661,25.04,93.54,345
B0005,94,3.7057,-2.0392,25.82,4.161,1.5002,1.7407,0.02764,26.15,93.59,344
B0005,95,3.6757,-1.9731,23.09,4.1764,1.5164,1.7391,0.02673,25.41,93.5,343
B0005,96,3.6693,-2.0343,23.41,4.1882,1.5462,1.7318,0.02651,24.4,93.11,342
B0005,97,3.66,-1.9378,22.28,4.1722,1.4493,1.7404,0.02749,25.05,93.57,341
B0005,98,3.6786,-2.037,23.67,4.1992,1.5043,1.739,0.02787,24.53,93.49,340
B0005,99,3.6695,-1.9623,25.82,4.2131,1.4537,1.7363,0.02638,24.76,93.35,339
B0005,100,3.6921,-2.0029,25.07,4.2083,1.5128,1.7337,0.02704,24.41,93.21,338
B0005,101,3.672,-1.8874,25.71,4.1867,1.4552,1.7258,0.02609,24.55,92.79,337
B0005,102,3.6724,-2.0051,24.96,4.2122,1.4796,1.7301,0.0247,24.9,93.02,336
B0005,103,3.6618,-2.1773,22.47,4.1919,1.4502,1.7293,0.02745,23.67,92.97,335
B0005,104,3.6677,-1.8738,23.57,4.1845,1.5326,1.7255,0.02791,23.63,92.77,334
B0005,105,3.6747,-2.0906,22.83,4.1803,1.5429,1.7278,0.02762,23.23,92.89,333
B0005,106,3.634,-2.0654,25.94,4.1849,1.4883,1.7297,0.02546,22.99,92.99,332
B0005,107,3.6409,-2.0596,22.09,4.1835,1.5019,1.7367,0.02711,23.35,93.37,331
B0005,108,3.6825,-1.8626,25.17,4.1918,1.4276,1.7259,0.02529,24.7,92.79,330
B0005,109,3.6707,-2.2136,25.11,4.1915,1.485,1.7251,0.02893,23.62,92.75,329
B0005,110,3.6633,-1.6862,26.46,4.189,1.4975,1.722,0.02653,25.0,92.58,328
B0005,111,3.6671,-1.8944,23.04,4.1955,1.631,1.7104,0.02892,24.49,91.96,327
B0005,112,3.6734,-1.9777,24.67,4.2067,1.4444,1.7197,0.02866,22.46,92.46,326
B0005,113,3.6553,-2.0055,26.97,4.2029,1.5732,1.7189,0.02687,25.05,92.41,325
B0005,114,3.6502,-1.9714,22.56,4.1663,1.5498,1.7311,0.02669,25.18,93.07,324
B0005,115,3.6694,-1.9479,21.13,4.1502,1.514,1.715,0.02822,23.34,92.2,323
B0005,116,3.6456,-1.9355,20.56,4.2024,1.5879,1.7165,0.02708,24.73,92.28,322
B0005,117,3.6731,-1.9444,24.4,4.1678,1.5186,1.7133,0.02808,23.42,92.12,321
B0005,118,3.6305,-1.991,20.46,4.1848,1.5195,1.7058,0.02755,24.34,91.71,320
B0005,119,3.6849,-2.0197,22.67,4.1705,1.4973,1.7174,0.0263,22.94,92.33,319
B0005,120,3.6735,-2.0151,23.84,4.161,1.5612,1.7139,0.0259,22.38,92.15,318
B0005,121,3.6688,-2.0195,23.41,4.196,1.5548,1.7129,0.02841,23.76,92.09,317
B0005,122,3.6831,-1.8866,23.73,4.1992,1.4687,1.7021,0.02767,23.98,91.51,316
B0005,123,3.6964,-1.9406,23.38,4.1791,1.434,1.7138,0.02773,23.67,92.14,315
B0005,124,3.6831,-2.294,24.92,4.1487,1.4899,1.6969,0.02903,22.85,91.23,314
B0005,125,3.6257,-1.9344,21.53,4.1793,1.46,1.7067,0.02956,23.6,91.76,313
B0005,126,3.6366,-1.9805,21.9,4.1933,1.4968,1.7144,0.02817,24.23,92.17,312
B0005,127,3.6494,-2.0019,21.72,4.1651,1.5619,1.6954,0.02815,23.88,91.15,311
B0005,128,3.6621,-2.0389,24.09,4.19,1.4771,1.6965,0.02904,24.07,91.21,310
B0005,129,3.6717,-1.8876,24.16,4.1869,1.4979,1.6989,0.02724,23.18,91.34,309
B0005,130,3.6465,-1.9052,23.45,4.1957,1.5029,1.6943,0.02887,24.99,91.09,308
B0005,131,3.6644,-2.0773,24.51,4.1887,1.5424,1.6872,0.02925,22.6,90.71,307
B0005,132,3.6453,-1.9593,20.94,4.1722,1.3877,1.695,0.02943,24.22,91.13,306
B0005,133,3.6479,-2.0972,25.18,4.2046,1.4697,1.6874,0.02687,24.88,90.72,305
B0005,134,3.6317,-2.138,24.93,4.1842,1.5106,1.6947,0.02809,24.14,91.11,304
B0005,135,3.641,-2.0627,23.73,4.1861,1.56,1.6857,0.02803,23.42,90.63,303
B0005,136,3.6322,-1.9138,25.27,4.1724,1.4754,1.6982,0.02906,23.05,91.3,302
B0005,137,3.6394,-1.9047,20.09,4.1797,1.4062,1.6839,0.02949,24.57,90.53,301
B0005,138,3.6797,-1.9487,21.77,4.1729,1.531,1.6852,0.03056,22.07,90.6,300
B0005,139,3.6393,-1.9275,21.43,4.1835,1.4682,1.6903,0.02862,22.49,90.88,299
B0005,140,3.7106,-1.9484,23.6,4.2117,1.4405,1.6776,0.02867,23.02,90.19,298
B0005,141,3.6676,-2.0641,20.93,4.1653,1.4688,1.6845,0.03037,24.61,90.56,297
B0005,142,3.6611,-1.9568,23.63,4.1616,1.4908,1.6892,0.02957,23.71,90.82,296
B0005,143,3.6399,-1.92,24.53,4.2078,1.4698,1.6717,0.03059,22.32,89.88,295
B0005,144,3.6708,-1.9246,23.51,4.1825,1.3897,1.6804,0.02966,22.94,90.35,294
B0005,145,3.645,-1.8811,22.89,4.1755,1.5449,1.6796,0.02827,22.59,90.3,293
B0005,146,3.6586,-1.9292,20.97,4.201,1.5637,1.6813,0.02814,22.46,90.39,292
B0005,147,3.7071,-1.9649,21.18,4.1762,1.5326,1.6687,0.02798,24.1,89.72,291
B0005,148,3.6537,-1.893,24.32,4.2126,1.4431,1.667,0.03024,21.71,89.62,290
B0005,149,3.6783,-2.0027,23.62,4.1953,1.4899,1.676,0.03082,24.65,90.11,289
B0005,150,3.6409,-2.0882,22.39,4.1777,1.4997,1.6735,0.03153,23.83,89.97,288
B0005,151,3.654,-2.0163,21.83,4.2173,1.5299,1.672,0.03058,24.05,89.89,287
B0005,152,3.6898,-2.0745,19.42,4.1757,1.5334,1.6712,0.03095,22.45,89.85,286
B0005,153,3.6416,-2.0675,20.86,4.1958,1.4633,1.6642,0.02926,22.72,89.48,285
B0005,154,3.69,-2.0145,25.34,4.1891,1.5041,1.6681,0.02873,21.4,89.68,284
B0005,155,3.6677,-2.0792,20.57,4.204,1.5229,1.6671,0.03079,22.27,89.63,283
B0005,156,3.642,-2.0308,22.79,4.2078,1.5728,1.6602,0.03041,23.24,89.26,282
B0005,157,3.6655,-2.1894,24.03,4.1848,1.5352,1.6734,0.03015,24.0,89.97,281
B0005,158,3.6721,-1.9787,20.65,4.1729,1.5395,1.6643,0.03049,21.56,89.48,280
B0005,159,3.6647,-1.9999,22.83,4.191,1.5042,1.6538,0.03047,22.26,88.91,279
B0005,160,3.6206,-2.0817,23.98,4.1738,1.5705,1.6628,0.03149,22.43,89.4,278
B0005,161,3.6372,-1.9341,22.62,4.2141,1.5205,1.6525,0.03155,21.15,88.84,277
B0005,162,3.6464,-1.9062,26.93,4.1858,1.4569,1.661,0.03085,23.09,89.3,276
B0005,163,3.6496,-2.1608,20.15,4.1782,1.5702,1.6618,0.0312,21.74,89.35,275
B0005,164,3.6632,-2.0763,24.27,4.1864,1.5349,1.6495,0.03092,22.23,88.68,274
B0005,165,3.6541,-2.0769,22.45,4.1633,1.4778,1.6582,0.03,21.93,89.15,273
B0005,166,3.6235,-2.094,23.9,4.1688,1.476,1.6539,0.03127,21.55,88.92,272
B0005,167,3.6575,-1.9171,23.44,4.2013,1.5148,1.6549,0.02917,22.3,88.97,271
B0005,168,3.6618,-2.0194,21.72,4.1733,1.5232,1.6596,0.03167,22.05,89.23,270
B0005,169,3.6605,-2.0265,23.2,4.1674,1.5099,1.6464,0.02948,21.85,88.52,269
B0005,170,3.6706,-2.2004,20.11,4.191,1.5156,1.6423,0.03101,21.46,88.3,268
B0005,171,3.6654,-1.9365,23.84,4.2007,1.585,1.6403,0.02993,22.47,88.19,267
B0005,172,3.6576,-2.1239,23.42,4.1936,1.5536,1.6394,0.03138,23.76,88.14,266
B0005,173,3.6467,-1.994,23.98,4.1976,1.5095,1.6423,0.03084,22.21,88.29,265
B0005,174,3.6146,-1.9723,24.65,4.1712,1.5471,1.6433,0.02933,23.03,88.35,264
B0005,175,3.6561,-1.8639,23.66,4.1612,1.4484,1.6417,0.0314,20.61,88.26,263
B0005,176,3.6514,-2.1309,23.38,4.2049,1.5199,1.6435,0.03046,22.12,88.36,262
B0005,177,3.6523,-2.302,21.89,4.1775,1.5905,1.6377,0.03197,20.83,88.05,261
B0005,178,3.6211,-1.9816,22.19,4.1784,1.4891,1.6445,0.03114,20.42,88.41,260
B0005,179,3.6247,-1.8199,25.09,4.202,1.4576,1.6336,0.03158,21.12,87.83,259
B0005,180,3.6671,-1.8761,25.52,4.1903,1.4674,1.649,0.03028,23.02,88.66,258
B0005,181,3.6449,-1.979,23.06,4.1887,1.4455,1.6361,0.0307,22.74,87.96,257
B0005,182,3.659,-2.0492,23.54,4.2143,1.4608,1.6265,0.03089,22.0,87.45,256
B0005,183,3.6457,-1.9193,22.17,4.172,1.4815,1.624,0.03225,20.19,87.31,255
B0005,184,3.6454,-2.0974,25.35,4.1955,1.4297,1.6314,0.03313,21.5,87.71,254
B0005,185,3.6633,-1.9524,24.65,4.1824,1.5008,1.6262,0.0307,21.96,87.43,253
B0005,186,3.6339,-1.9495,26.62,4.1854,1.5451,1.6302,0.03263,21.81,87.65,252
B0005,187,3.6458,-1.894,22.45,4.2042,1.4546,1.6276,0.02944,19.76,87.51,251
B0005,188,3.6344,-1.724,23.26,4.1888,1.576,1.6233,0.03046,20.68,87.27,250
B0005,189,3.6346,-1.9608,24.24,4.1892,1.5255,1.6177,0.03075,21.48,86.97,249
B0005,190,3.6368,-2.0509,24.92,4.1971,1.5515,1.6127,0.03041,22.05,86.7,248
B0005,191,3.6471,-2.0026,23.69,4.1754,1.4671,1.6174,0.03023,19.29,86.96,247
B0005,192,3.6328,-2.1769,22.77,4.1682,1.5427,1.6234,0.03228,21.3,87.28,246
B0005,193,3.6672,-2.0695,25.46,4.165,1.4454,1.6185,0.0317,21.58,87.02,245
B0005,194,3.6239,-2.0409,25.29,4.1511,1.5445,1.6091,0.03235,22.26,86.51,244
B0005,195,3.6378,-2.0524,22.9,4.2113,1.5086,1.6158,0.03271,22.07,86.87,243
B0005,196,3.6324,-1.9848,26.37,4.1639,1.5277,1.6157,0.03234,21.94,86.86,242
B0005,197,3.6698,-2.0822,26.16,4.177,1.4412,1.6073,0.03278,20.53,86.42,241
B0005,198,3.6445,-1.8879,24.67,4.176,1.4552,1.6119,0.03211,19.4,86.66,240
B0005,199,3.6609,-2.0,24.65,4.1847,1.5299,1.6101,0.03104,20.9,86.56,239
B0005,200,3.6103,-2.0009,25.43,4.1922,1.4526,1.6021,0.03334,22.27,86.13,238
B0005,201,3.645,-2.0328,23.37,4.1928,1.5232,1.6092,0.03175,22.64,86.52,237
B0005,202,3.6572,-1.9845,24.78,4.1711,1.4316,1.609,0.03145,21.94,86.51,236
B0005,203,3.6407,-1.9175,21.57,4.1772,1.5424,1.6107,0.03226,21.64,86.6,235
B0005,204,3.6601,-2.0867,26.18,4.1838,1.4384,1.6093,0.03158,21.57,86.52,234
B0005,205,3.6282,-2.0658,22.59,4.1758,1.5276,1.5944,0.03213,20.62,85.72,233
B0005,206,3.6664,-2.0304,27.25,4.2035,1.5313,1.5956,0.03294,21.03,85.79,232
B0005,207,3.6839,-2.1346,24.56,4.1867,1.4652,1.6024,0.033,22.81,86.15,231
B0005,208,3.6303,-2.0819,24.8,4.1902,1.5291,1.6012,0.0318,20.18,86.08,230
B0005,209,3.6284,-2.0476,24.24,4.189,1.513,1.5999,0.03226,22.73,86.02,229
B0005,210,3.6661,-1.9126,24.82,4.1966,1.4731,1.6173,0.03388,20.78,86.95,228
B0005,211,3.6683,-1.9737,27.44,4.1816,1.4496,1.5977,0.03335,22.41,85.9,227
B0005,212,3.6259,-1.9806,21.64,4.1593,1.4019,1.5996,0.03498,19.67,86.0,226
B0005,213,3.6277,-1.9149,27.35,4.1847,1.5175,1.5973,0.03414,21.65,85.88,225
B0005,214,3.6302,-2.0137,26.0,4.1688,1.4218,1.5943,0.03416,20.32,85.72,224
B0005,215,3.6086,-1.961,23.74,4.1706,1.5048,1.5877,0.03168,19.63,85.36,223
B0005,216,3.6168,-2.0103,24.0,4.1872,1.4868,1.5924,0.03388,21.25,85.61,222
B0005,217,3.6148,-1.9735,28.18,4.1969,1.534,1.5826,0.03312,22.04,85.08,221
B0005,218,3.6192,-2.0583,24.31,4.1785,1.4849,1.5843,0.03267,20.18,85.18,220
B0005,219,3.6336,-2.2439,24.05,4.1827,1.4835,1.5816,0.03344,19.52,85.03,219
B0005,220,3.6387,-2.0134,27.54,4.2035,1.5366,1.5835,0.03427,20.92,85.14,218
B0005,221,3.6647,-1.8577,26.4,4.1815,1.5168,1.5947,0.03388,20.92,85.74,217
B0005,222,3.6134,-1.9074,24.53,4.2168,1.5158,1.5701,0.03255,21.55,84.41,216
B0005,223,3.6528,-1.9035,26.32,4.1862,1.5235,1.5831,0.03423,21.95,85.11,215
B0005,224,3.6285,-1.8764,24.5,4.1512,1.4232,1.569,0.0329,20.94,84.35,214
B0005,225,3.6315,-1.9911,27.74,4.1888,1.5378,1.5741,0.0338,22.86,84.63,213
B0005,226,3.6457,-1.9803,27.73,4.1831,1.5306,1.5815,0.03334,21.22,85.03,212
B0005,227,3.6094,-2.0618,26.98,4.1966,1.4492,1.5745,0.03347,20.66,84.65,211
B0005,228,3.6392,-2.0316,26.77,4.1873,1.4878,1.5669,0.03451,19.39,84.24,210
B0005,229,3.6346,-1.9384,28.91,4.175,1.498,1.5676,0.03276,20.74,84.28,209
B0005,230,3.6408,-1.8796,26.31,4.1586,1.4933,1.5741,0.03579,20.67,84.63,208
B0005,231,3.6365,-2.0139,24.57,4.1738,1.5167,1.565,0.03208,21.98,84.14,207
B0005,232,3.6795,-2.045,27.06,4.164,1.5716,1.569,0.03336,21.48,84.36,206
B0005,233,3.6173,-1.9999,29.55,4.168,1.5541,1.5668,0.03438,19.85,84.24,205
B0005,234,3.6192,-1.9399,24.93,4.1854,1.4344,1.5616,0.03464,21.21,83.96,204
B0005,235,3.617,-2.1444,25.94,4.2015,1.5311,1.576,0.03401,21.72,84.73,203
B0005,236,3.6181,-2.2296,27.14,4.1823,1.5664,1.5663,0.03411,22.58,84.21,202
B0005,237,3.6162,-2.0551,26.47,4.1584,1.5193,1.5502,0.03463,21.95,83.34,201
B0005,238,3.6524,-2.1221,25.1,4.1829,1.5545,1.5612,0.03404,21.83,83.94,200
B0005,239,3.6567,-2.0508,28.28,4.194,1.6006,1.5552,0.03571,21.15,83.61,199
B0005,240,3.6166,-2.0148,30.1,4.1669,1.5512,1.5624,0.03521,21.49,84.0,198
B0005,241,3.6111,-2.0453,26.94,4.1739,1.5125,1.5519,0.0353,22.36,83.44,197
B0005,242,3.6368,-1.8548,25.31,4.176,1.5523,1.5545,0.03351,19.79,83.57,196
B0005,243,3.6161,-1.9673,24.36,4.1639,1.5072,1.5566,0.03445,20.79,83.69,195
B0005,244,3.6395,-1.97,27.08,4.1853,1.5012,1.5574,0.03428,20.38,83.73,194
B0005,245,3.6306,-1.9378,28.37,4.1737,1.4824,1.5446,0.03363,21.55,83.04,193
B0005,246,3.5959,-2.1139,27.43,4.1817,1.5782,1.5481,0.03505,22.42,83.23,192
B0005,247,3.6569,-1.8961,26.73,4.162,1.4591,1.5461,0.0342,20.61,83.12,191
B0005,248,3.6615,-2.0076,25.86,4.1686,1.5766,1.5438,0.03545,18.84,83.0,190
B0005,249,3.613,-1.933,25.11,4.1859,1.525,1.556,0.03377,20.84,83.66,189
B0005,250,3.6172,-2.1072,28.0,4.1694,1.43,1.5472,0.03661,22.18,83.18,188
B0005,251,3.6304,-2.1554,28.12,4.2008,1.5184,1.5366,0.03405,21.83,82.61,187
B0005,252,3.6311,-1.9182,24.43,4.1688,1.395,1.5475,0.03522,21.74,83.2,186
B0005,253,3.6373,-1.9624,29.13,4.1781,1.5313,1.5529,0.03584,21.05,83.49,185
B0005,254,3.664,-2.0902,27.61,4.1886,1.5443,1.5456,0.03453,20.08,83.1,184
B0005,255,3.62,-2.087,28.84,4.1532,1.4704,1.5301,0.03601,21.9,82.26,183
B0005,256,3.6072,-1.8875,24.72,4.148,1.5062,1.5346,0.03398,20.57,82.5,182
B0005,257,3.5953,-2.1189,24.67,4.1514,1.5977,1.5431,0.03671,23.62,82.96,181
B0005,258,3.608,-1.8357,26.49,4.1931,1.4747,1.5308,0.03533,22.03,82.3,180
B0005,259,3.6216,-2.0901,27.45,4.1658,1.4471,1.5359,0.03477,20.91,82.58,179
B0005,260,3.6579,-1.9362,29.38,4.2124,1.5741,1.5365,0.03512,20.9,82.61,178
B0005,261,3.6113,-2.0329,27.72,4.1654,1.5981,1.5257,0.03628,21.45,82.03,177
B0005,262,3.6259,-1.9397,26.28,4.1766,1.5002,1.5293,0.03494,21.33,82.22,176
B0005,263,3.6208,-2.0544,25.08,4.1968,1.5506,1.5103,0.03483,22.72,81.2,175
B0005,264,3.6446,-2.0163,28.45,4.2037,1.5671,1.5214,0.03541,21.82,81.79,174
B0005,265,3.671,-1.9959,25.13,4.2044,1.4629,1.5244,0.0345,20.93,81.96,173
B0005,266,3.6096,-2.1002,28.99,4.1915,1.4757,1.5176,0.03755,23.58,81.59,172
B0005,267,3.6101,-1.9259,26.1,4.1887,1.5615,1.5324,0.03522,21.77,82.39,171
B0005,268,3.6405,-2.0513,28.88,4.1821,1.5843,1.514,0.03667,22.53,81.4,170
B0005,269,3.6329,-2.0229,27.48,4.1848,1.5281,1.5183,0.0361,21.18,81.63,169
B0005,270,3.6559,-2.0994,26.22,4.1647,1.456,1.5202,0.03496,22.19,81.73,168
B0005,271,3.6304,-2.2562,25.61,4.1606,1.5994,1.5262,0.03599,22.17,82.06,167
B0005,272,3.6112,-2.0191,25.85,4.1727,1.4735,1.5089,0.03683,20.0,81.12,166
B0005,273,3.6299,-1.7587,26.96,4.1701,1.4832,1.5221,0.03591,23.94,81.83,165
B0005,274,3.64,-1.9215,26.4,4.1658,1.5171,1.5144,0.03735,23.25,81.42,164
